D,m,N,theta,Re_Omega,Re_Ref_Ylm,L_eff,l_pure
0,0,1,1.79071,-0.106585,-0.106585,1,1
0,0,1,1.82212,-0.121511,-0.121511,1,1
0,0,1,1.85354,-0.136316,-0.136316,1,1
0,0,1,1.88496,-0.150986,-0.150986,1,1
0,0,1,1.91637,-0.165508,-0.165508,1,1
0,0,1,1.94779,-0.179867,-0.179867,1,1
0,0,1,1.9792,-0.194047,-0.194047,1,1
0,0,1,2.01062,-0.208037,-0.208037,1,1
0,0,1,2.04204,-0.221821,-0.221821,1,1
0,0,1,2.07345,-0.235386,-0.235386,1,1
0,0,1,2.10487,-0.248719,-0.248719,1,1
0,0,1,2.13628,-0.261806,-0.261806,1,1
0,0,1,2.1677,-0.274635,-0.274635,1,1
0,0,1,2.19911,-0.287193,-0.287193,1,1
0,0,1,2.23053,-0.299468,-0.299468,1,1
0,0,1,2.26195,-0.311447,-0.311447,1,1
0,0,1,2.29336,-0.323119,-0.323119,1,1
0,0,1,2.32478,-0.334471,-0.334471,1,1
0,0,1,2.35619,-0.345494,-0.345494,1,1
0,0,1,2.38761,-0.356176,-0.356176,1,1
0,0,1,2.41903,-0.366506,-0.366506,1,1
0,0,1,2.45044,-0.376475,-0.376475,1,1
0,0,1,2.48186,-0.386072,-0.386072,1,1
0,0,1,2.51327,-0.395288,-0.395288,1,1
0,0,1,2.54469,-0.404114,-0.404114,1,1
0,0,1,2.57611,-0.412541,-0.412541,1,1
0,0,1,2.60752,-0.420561,-0.420561,1,1
0,0,1,2.63894,-0.428166,-0.428166,1,1
0,0,1,2.67035,-0.435348,-0.435348,1,1
0,0,1,2.70177,-0.442101,-0.442101,1,1
0,0,1,2.73319,-0.448417,-0.448417,1,1
0,0,1,2.7646,-0.454291,-0.454291,1,1
0,0,1,2.79602,-0.459717,-0.459717,1,1
0,0,1,2.82743,-0.464689,-0.464689,1,1
0,0,1,2.85885,-0.469202,-0.469202,1,1
0,0,1,2.89027,-0.473252,-0.473252,1,1
0,0,1,2.92168,-0.476835,-0.476835,1,1
0,0,1,2.9531,-0.479948,-0.479948,1,1
0,0,1,2.98451,-0.482587,-0.482587,1,1
0,0,1,3.01593,-0.48475,-0.48475,1,1
0,0,1,3.04734,-0.486434,-0.486434,1,1
0,0,1,3.07876,-0.487638,-0.487638,1,1
0,0,1,3.11018,-0.488361,-0.488361,1,1
