D,m,N,r,Re_Radial,Re_Ref_Bessel,L_eff,l_pure
0,0,1,16.6,0.0349963,0.0349963,1,1
0,0,1,16.7,0.029752,0.029752,1,1
0,0,1,16.8,0.0242766,0.0242766,1,1
0,0,1,16.9,0.0186267,0.0186267,1,1
0,0,1,17,0.0128594,0.0128594,1,1
0,0,1,17.1,0.00703283,0.00703283,1,1
0,0,1,17.2,0.00120459,0.00120459,1,1
0,0,1,17.3,-0.00456816,-0.00456816,1,1
0,0,1,17.4,-0.0102295,-0.0102295,1,1
0,0,1,17.5,-0.0157251,-0.0157251,1,1
0,0,1,17.6,-0.0210031,-0.0210031,1,1
0,0,1,17.7,-0.0260142,-0.0260142,1,1
0,0,1,17.8,-0.0307121,-0.0307121,1,1
0,0,1,17.9,-0.0350543,-0.0350543,1,1
0,0,1,18,-0.0390021,-0.0390021,1,1
0,0,1,18.1,-0.0425212,-0.0425212,1,1
0,0,1,18.2,-0.0455816,-0.0455816,1,1
0,0,1,18.3,-0.0481584,-0.0481584,1,1
0,0,1,18.4,-0.0502314,-0.0502314,1,1
0,0,1,18.5,-0.0517858,-0.0517858,1,1
0,0,1,18.6,-0.0528118,-0.0528118,1,1
0,0,1,18.7,-0.0533051,-0.0533051,1,1
0,0,1,18.8,-0.0532663,-0.0532663,1,1
0,0,1,18.9,-0.0527016,-0.0527016,1,1
0,0,1,19,-0.0516219,-0.0516219,1,1
0,0,1,19.1,-0.0500433,-0.0500433,1,1
0,0,1,19.2,-0.0479864,-0.0479864,1,1
0,0,1,19.3,-0.0454765,-0.0454765,1,1
0,0,1,19.4,-0.0425428,-0.0425428,1,1
0,0,1,19.5,-0.0392185,-0.0392185,1,1
0,0,1,19.6,-0.0355404,-0.0355404,1,1
0,0,1,19.7,-0.0315481,-0.0315481,1,1
0,0,1,19.8,-0.0272842,-0.0272842,1,1
0,0,1,19.9,-0.0227932,-0.0227932,1,1
0,0,1,20,-0.0181217,-0.0181217,1,1
0.1,0,0,0.1,1.01878,0.998334,-0.00669527,0
0.1,0,0,0.2,1.00897,0.993347,-0.00669527,0
0.1,0,0,0.3,0.997814,0.985067,-0.00669527,0
0.1,0,0,0.4,0.984194,0.973546,-0.00669527,0
0.1,0,0,0.5,0.967823,0.958851,-0.00669527,0
0.1,0,0,0.6,0.948636,0.941071,-0.00669527,0
0.1,0,0,0.7,0.926655,0.920311,-0.00669527,0
0.1,0,0,0.8,0.901957,0.896695,-0.00669527,0
0.1,0,0,0.9,0.874654,0.870363,-0.00669527,0
0.1,0,0,1,0.844881,0.841471,-0.00669527,0
0.1,0,0,1.1,0.812796,0.810189,-0.00669527,0
0.1,0,0,1.2,0.778574,0.776699,-0.00669527,0
0.1,0,0,1.3,0.742402,0.741199,-0.00669527,0
0.1,0,0,1.4,0.704482,0.703893,-0.00669527,0
0.1,0,0,1.5,0.665026,0.664997,-0.00669527,0
0.1,0,0,1.6,0.624255,0.624734,-0.00669527,0
0.1,0,0,1.7,0.582394,0.583332,-0.00669527,0
0.1,0,0,1.8,0.539676,0.541026,-0.00669527,0
0.1,0,0,1.9,0.496336,0.498053,-0.00669527,0
0.1,0,0,2,0.45261,0.454649,-0.00669527,0
0.1,0,0,2.1,0.408734,0.411052,-0.00669527,0
0.1,0,0,2.2,0.364942,0.367498,-0.00669527,0
0.1,0,0,2.3,0.321466,0.32422,-0.00669527,0
0.1,0,0,2.4,0.278531,0.281443,-0.00669527,0
0.1,0,0,2.5,0.236356,0.239389,-0.00669527,0
0.1,0,0,2.6,0.195152,0.19827,-0.00669527,0
0.1,0,0,2.7,0.155121,0.158289,-0.00669527,0
0.1,0,0,2.8,0.116453,0.119639,-0.00669527,0
0.1,0,0,2.9,0.0793272,0.0824998,-0.00669527,0
0.1,0,0,3,0.0439098,0.04704,-0.00669527,0
0.1,0,0,3.1,0.0103526,0.0134131,-0.00669527,0
0.1,0,0,3.2,-0.0212076,-0.0182419,-0.00669527,0
0.1,0,0,3.3,-0.0506494,-0.0478017,-0.00669527,0
0.1,0,0,3.4,-0.0778679,-0.0751591,-0.00669527,0
0.1,0,0,3.5,-0.102775,-0.100224,-0.00669527,0
0.1,0,0,3.6,-0.125299,-0.122922,-0.00669527,0
0.1,0,0,3.7,-0.145387,-0.143199,-0.00669527,0
0.1,0,0,3.8,-0.163003,-0.161015,-0.00669527,0
0.1,0,0,3.9,-0.178127,-0.17635,-0.00669527,0
0.1,0,0,4,-0.19076,-0.189201,-0.00669527,0
0.1,0,0,4.1,-0.200916,-0.19958,-0.00669527,0
0.1,0,0,4.2,-0.208627,-0.207518,-0.00669527,0
0.1,0,0,4.3,-0.213944,-0.213062,-0.00669527,0
0.1,0,0,4.4,-0.216928,-0.216273,-0.00669527,0
0.1,0,0,4.5,-0.217661,-0.217229,-0.00669527,0
0.1,0,0,4.6,-0.216233,-0.21602,-0.00669527,0
0.1,0,0,4.7,-0.21275,-0.21275,-0.00669527,0
0.1,0,0,4.8,-0.207331,-0.207534,-0.00669527,0
0.1,0,0,4.9,-0.200103,-0.200501,-0.00669527,0
0.1,0,0,5,-0.191204,-0.191785,-0.00669527,0
0.1,0,0,5.1,-0.180781,-0.181532,-0.00669527,0
0.1,0,0,5.2,-0.168986,-0.169895,-0.00669527,0
0.1,0,0,5.3,-0.15598,-0.157032,-0.00669527,0
0.1,0,0,5.4,-0.141925,-0.143105,-0.00669527,0
0.1,0,0,5.5,-0.126989,-0.12828,-0.00669527,0
0.1,0,0,5.6,-0.111339,-0.112726,-0.00669527,0
0.1,0,0,5.7,-0.0951462,-0.0966115,-0.00669527,0
0.1,0,0,5.8,-0.0785768,-0.0801038,-0.00669527,0
0.1,0,0,5.9,-0.0617971,-0.0633689,-0.00669527,0
0.1,0,0,6,-0.0449695,-0.0465692,-0.00669527,0
0.1,0,0,6.1,-0.0282516,-0.0298627,-0.00669527,0
0.1,0,0,6.2,-0.0117951,-0.0134015,-0.00669527,0
0.1,0,0,6.3,0.00425488,0.00266887,-0.00669527,0
0.1,0,0,6.4,0.0197615,0.0182108,-0.00669527,0
0.1,0,0,6.5,0.0345965,0.0330954,-0.00669527,0
0.1,0,0,6.6,0.0486415,0.0472032,-0.00669527,0
0.1,0,0,6.7,0.0617884,0.0604254,-0.00669527,0
0.1,0,0,6.8,0.0739402,0.0726637,-0.00669527,0
0.1,0,0,6.9,0.0850116,0.0838318,-0.00669527,0
0.1,0,0,7,0.0949294,0.0938552,-0.00669527,0
0.1,0,0,7.1,0.103632,0.102672,-0.00669527,0
0.1,0,0,7.2,0.111073,0.110232,-0.00669527,0
0.1,0,0,7.3,0.117214,0.116498,-0.00669527,0
0.1,0,0,7.4,0.122034,0.121447,-0.00669527,0
0.1,0,0,7.5,0.125522,0.125067,-0.00669527,0
0.1,0,0,7.6,0.127681,0.127358,-0.00669527,0
0.1,0,0,7.7,0.128524,0.128334,-0.00669527,0
0.1,0,0,7.8,0.128078,0.128018,-0.00669527,0
0.1,0,0,7.9,0.12638,0.126448,-0.00669527,0
0.1,0,0,8,0.123477,0.12367,-0.00669527,0
0.1,0,0,8.1,0.119426,0.119739,-0.00669527,0
0.1,0,0,8.2,0.114296,0.114723,-0.00669527,0
0.1,0,0,8.3,0.108161,0.108695,-0.00669527,0
0.1,0,0,8.4,0.101105,0.101738,-0.00669527,0
0.1,0,0,8.5,0.0932154,0.0939397,-0.00669527,0
0.1,0,0,8.6,0.0845891,0.085395,-0.00669527,0
0.1,0,0,8.7,0.0753255,0.0762034,-0.00669527,0
0.1,0,0,8.8,0.0655284,0.0664679,-0.00669527,0
0.1,0,0,8.9,0.0553039,0.0562945,-0.00669527,0
0.1,0,0,9,0.0447602,0.0457909,-0.00669527,0
0.1,0,0,9.1,0.0340058,0.0350658,-0.00669527,0
0.1,0,0,9.2,0.0231492,0.0242272,-0.00669527,0
0.1,0,0,9.3,0.0122972,0.0133822,-0.00669527,0
0.1,0,0,9.4,0.00155448,0.00263568,-0.00669527,0
0.1,0,0,9.5,-0.00897742,-0.00791064,-0.00669527,0
0.1,0,0,9.6,-0.0192011,-0.018159,-0.00669527,0
0.1,0,0,9.7,-0.0290242,-0.0280166,-0.00669527,0
0.1,0,0,9.8,-0.0383597,-0.0373958,-0.00669527,0
0.1,0,0,9.9,-0.0471271,-0.0462157,-0.00669527,0
0.1,0,0,10,-0.055253,-0.0544021,-0.00669527,0
0.1,0,0,10.1,-0.0626714,-0.0618882,-0.00669527,0
0.1,0,0,10.2,-0.0693242,-0.0686152,-0.00669527,0
0.1,0,0,10.3,-0.0751619,-0.0745326,-0.00669527,0
0.1,0,0,10.4,-0.0801435,-0.0795987,-0.00669527,0
0.1,0,0,10.5,-0.084237,-0.0837805,-0.00669527,0
0.1,0,0,10.6,-0.0874194,-0.0870543,-0.00669527,0
0.1,0,0,10.7,-0.0896771,-0.0894051,-0.00669527,0
